  34.651  -86.543   186.0 em64rp kd4qio AL
starthere
  39.917  116.383     0.0 om89ew Beijing China
stophere
  -3.850  -32.417     0.0 hi36sd PP0-PY0 Fernando de Noronha,V.d.Remedios
  43.573 -116.562     0.0 dn13rn Nampa ID
  42.873 -112.450     0.0 dn32su Pocatello ID
  43.823 -111.785     0.0 dn43ct Rexburg ID
  42.562 -114.470     0.0 dn22sn Twin Falls ID
  42.088  -87.980     0.0 en62ac Arlington Heights IL
  41.755  -88.313     0.0 en51us Aurora IL
  40.482  -88.993     0.0 en50ml Bloomington IL
  40.118  -88.247     0.0 en50vc Champaign IL
  41.874  -87.639     0.0 en61eu Chicago IL
  41.850  -87.745     0.0 en61du Cicero IL
  39.845  -88.946     0.0 em59mu Decataur IL
  42.043  -87.870     0.0 en62bb Des Plaines IL
  38.622  -90.155     0.0 em48wo East St. Louis IL
  42.038  -88.290     0.0 en52ua Elgin IL
  42.043  -87.677     0.0 en62db Evanston IL
  41.527  -88.080     0.0 en51xm Joilet IL
  41.509  -90.514     0.0 en41rm Moline IL
  41.882  -87.775     0.0 en61cv Oak Park IL
  40.695  -89.592     0.0 en50eq Peoria IL
  42.269  -89.097     0.0 en52kg Rockford IL
  42.040  -88.080     0.0 en52xa Schaumburg IL
  42.043  -87.747     0.0 en62db Skokie IL
  39.799  -89.647     0.0 em59et Springfield IL
  40.112  -88.202     0.0 en50vc Urbana IL
  42.358  -87.833     0.0 en62ci Waukegan IL
  40.167  -85.685     0.0 en70de Anderson IN
  39.165  -86.532     0.0 em69rd Bloomington IN
  37.972  -87.573     0.0 em67fx Evansville IN
  41.072  -85.141     0.0 en71kb Ft. Wayne IN
  41.603  -87.339     0.0 en61ho Gary IN
  41.630  -87.505     0.0 en61fp Hammond IN
  39.769  -86.163     0.0 em69ws Indianapolis IN
  40.420  -86.894     0.0 en60nk Lafayette IN
  40.191  -85.388     0.0 en70he Muncie IN
  41.676  -86.250     0.0 en61vq South Bend IN
  39.467  -87.407     0.0 em69hl Terre Haute IN
  42.032  -93.617     0.0 en32ea Ames IA
  40.810  -91.233     0.0 en40jt Burlington IA
  42.525  -92.452     0.0 en32sm Cedar Falls IA
  41.967  -91.665     0.0 en41ex Cedar Rapids IA
  41.843  -90.193     0.0 en41vu Clinton IA
  41.262  -95.865     0.0 en21bg Council Bluffs IA
  41.522  -90.576     0.0 en41rm Davenport IA
  41.587  -93.617     0.0 en31eo Des Moines IA
  42.503  -90.675     0.0 en42pm Dubuque IA
  41.660  -91.531     0.0 en41fp Iowa City IA
  42.496  -96.408     0.0 en12tl Sioux City IA
  42.494  -92.339     0.0 en32tl Waterloo IA
